Symbol,Name,1H Cloud Score,4H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,4H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
EUR_TRY,EUR/TRY,91,19,34,228,132,504,32,18,11,112,134,307,811
USD_TRY,USD/TRY,67,2,23,230,132,454,30,15,23,123,156,347,801
CHF_JPY,CHF/JPY,5,185,47,218,37,492,2,27,38,66,49,182,674
NAS100_USD,US Nas 100,110,30,43,61,167,411,58,27,45,73,10,213,624
GBP_JPY,GBP/JPY,37,127,126,68,29,387,-11,89,38,64,43,223,610
SGD_JPY,SGD/JPY,14,127,126,190,34,491,8,1,37,22,42,110,601
AUD_JPY,AUD/JPY,20,118,126,57,32,353,16,90,17,59,44,226,579
SPX500_USD,US SPX 500,107,30,44,61,164,406,56,24,46,29,12,167,573
EUR_JPY,EUR/JPY,17,90,126,122,41,396,2,93,9,21,42,167,563
NZD_JPY,NZD/JPY,3,126,49,61,32,271,2,90,41,59,43,235,506
JP225Y_JPY,Japan 225 (JPY),18,70,11,68,51,218,24,85,20,31,15,175,393
JP225_USD,Japan 225,18,64,11,68,51,212,24,84,8,32,15,163,375
NL25_EUR,Netherlands 25,0,20,165,37,52,274,-28,14,47,29,13,75,349
CAD_JPY,CAD/JPY,8,103,19,57,34,221,28,-10,16,23,42,99,320
SG30_SGD,Singapore 30,3,34,104,15,-33,123,30,-6,110,22,2,158,281
ZAR_JPY,ZAR/JPY,74,9,23,29,14,149,71,12,15,15,5,118,267
AUD_NZD,AUD/NZD,17,94,8,4,30,153,26,58,10,12,-13,93,246
USD_JPY,USD/JPY,9,1,23,56,34,123,17,-17,30,19,38,87,210
GBP_CAD,GBP/CAD,0,17,42,72,3,134,-17,46,-11,33,14,65,199
US30_USD,US Wall St 30,-3,29,17,37,52,132,-17,26,10,29,13,61,193
GBP_NZD,GBP/NZD,32,49,0,3,16,100,28,1,8,-2,14,49,149
AU200_AUD,Australia 200,-2,27,5,32,46,108,-2,-1,-3,29,13,36,144
XAG_USD,Silver,-2,28,5,19,5,55,11,43,1,18,12,85,140
AUD_CAD,AUD/CAD,0,39,55,9,0,103,-24,53,5,11,-10,35,138
SUGAR_USD,Sugar,-8,41,0,-21,40,52,-19,69,16,-27,43,82,134
XAU_USD,Gold,-23,28,0,40,21,66,-24,44,3,32,12,67,133
CH20_CHF,Switzerland 20,1,-1,42,31,3,76,14,12,-3,29,2,54,130
ESPIX_EUR,Spain 35,-9,-5,-1,80,14,79,-9,12,-14,29,13,31,110
EU50_EUR,Europe 50,-20,-1,-2,37,45,59,-19,23,2,29,13,48,107
USB02Y_USD,US 2Y T-Note,89,17,20,0,-29,97,-9,24,26,-14,-30,-3,94
FR40_EUR,France 40,-10,-2,-23,36,45,46,-13,14,-29,29,43,44,90
UK100_GBP,UK 100,-21,-2,0,25,32,34,-10,-4,-6,35,40,55,89
AUD_CHF,AUD/CHF,0,77,8,0,-18,67,24,-5,5,17,-25,16,83
USB05Y_USD,US 5Y T-Note,86,15,20,0,-29,92,-9,16,26,-13,-30,-10,82
DE30_EUR,Germany 30,-10,0,0,37,45,72,-35,-1,3,29,13,9,81
EUR_NZD,EUR/NZD,20,55,-35,0,0,40,26,-16,6,-2,19,33,73
XCU_USD,Copper,-2,28,0,19,5,50,-22,37,-26,26,4,19,69
GBP_USD,GBP/USD,0,28,37,12,-28,49,-17,24,-11,3,12,11,60
AUD_USD,AUD/USD,-2,30,48,2,-18,60,-24,37,8,2,-25,-2,58
USB10Y_USD,US 10Y T-Note,89,14,20,0,-29,94,-5,16,-1,-12,-34,-36,58
USD_NOK,USD/NOK,25,-2,-34,1,18,8,25,-22,14,-1,25,41,49
EUR_CAD,EUR/CAD,0,37,0,2,0,39,-17,14,-16,8,15,4,43
GBP_CHF,GBP/CHF,19,51,0,19,-40,49,-3,-6,3,20,-26,-12,37
USB30Y_USD,US T-Bond,76,10,5,0,-29,62,-3,16,-2,-11,-39,-39,23
NZD_USD,NZD/USD,-16,21,40,0,-18,27,-24,24,-11,2,2,-7,20
US2000_USD,US Russ 2000,-2,-1,0,33,6,36,-4,4,-23,4,1,-18,18
NZD_CAD,NZD/CAD,-2,0,46,2,-19,27,-24,16,-10,6,2,-10,17
EUR_USD,EUR/USD,-2,31,4,-6,-33,-6,-17,41,-17,-14,12,5,-1
USD_CHF,USD/CHF,1,0,-5,3,-17,-18,23,-18,3,16,-13,11,-7
DE10YB_EUR,Bund,46,0,0,-4,-29,13,-2,14,18,-13,-39,-22,-9
USD_SGD,USD/SGD,5,-25,-3,7,-9,-25,24,-25,18,13,-14,16,-9
GBP_AUD,GBP/AUD,8,0,-16,0,0,-8,-11,7,-13,-2,14,-5,-13
USD_DKK,USD/DKK,2,-31,-4,6,31,4,17,-42,17,-1,-12,-21,-17
NZD_CHF,NZD/CHF,-25,33,0,0,-26,-18,-7,-5,3,21,-25,-13,-31
CAD_CHF,CAD/CHF,0,0,-27,0,-21,-48,24,-12,4,16,-18,14,-34
XPT_USD,Platinum,-25,-2,-1,0,0,-28,-31,-2,4,14,-10,-25,-53
UK10YB_GBP,UK 10Y Gilt,26,0,3,-3,-32,-6,-1,5,-2,-12,-38,-48,-54
NATGAS_USD,Natural Gas,5,-62,0,-4,-9,-70,27,2,-7,2,-15,9,-61
WTICO_USD,West Texas Oil,-44,-6,7,4,0,-39,-38,-4,16,-2,-17,-45,-84
BCO_USD,Brent Crude Oil,-38,-6,1,4,0,-39,-37,-4,16,-4,-17,-46,-85
CN50_USD,China A50,0,-14,-21,0,-18,-53,6,-10,-27,15,-29,-45,-98
WHEAT_USD,Wheat,-23,0,-14,-5,-7,-49,-23,-4,-20,9,-18,-56,-105
EUR_AUD,EUR/AUD,-1,-8,-56,-4,0,-69,-9,-24,-14,-5,15,-37,-106
USD_MXN,USD/MXN,-50,-25,27,0,-27,-75,7,-31,27,5,-42,-34,-109
USD_ZAR,USD/ZAR,-75,-13,-5,-4,37,-60,-42,-13,-15,-8,25,-53,-113
HK33_HKD,Hong Kong 33,-44,-19,-3,-1,-35,-102,-1,-10,-23,13,-30,-51,-153
SOYBN_USD,Soybeans,-22,-1,-16,-50,-7,-96,-28,-3,-20,2,-15,-64,-160
XPD_USD,Palladium,-39,79,0,-99,-19,-78,-4,-6,7,-84,-20,-107,-185
EUR_GBP,EUR/GBP,-1,-14,-37,-63,-20,-135,5,-25,1,-25,-12,-56,-191
CORN_USD,Corn,-33,-70,-13,-55,-12,-183,-26,-84,-23,-3,-17,-153,-336
